"ZVarPDF_TA","TPDFMean","PVVarPDF_TA","PVPDF_TA","rhoPDF_TA","ZPDF_TA","Points:0","Points:1","Points:2"
1.71428e-02,1.15555e+03,7.34589e+00,5.34046e+00,2.77408e-01,7.03580e-01,7.99509e-03,4.08276e-03,0.00000e+00
1.10761e-04,3.33393e+02,8.72338e-02,1.68173e-01,1.05099e+00,5.90563e-03,1.52174e-01,2.45984e-02,0.00000e+00
1.51289e-02,1.59622e+03,6.29463e+00,6.48817e+00,2.11468e-01,2.48495e-01,2.71395e-01,1.84948e-02,0.00000e+00
1.21550e-11,2.94001e+02,1.02961e-08,3.61912e-06,1.19624e+00,1.24423e-07,1.89047e-01,6.16656e-02,0.00000e+00
9.02019e-03,6.52314e+02,3.16638e+00,2.12963e+00,4.88881e-01,8.74934e-01,6.86503e-03,3.68633e-03,0.00000e+00
1.21276e-02,1.52195e+03,6.61190e+00,5.99619e+00,2.22233e-01,2.19019e-01,2.98243e-01,2.12725e-02,0.00000e+00
4.40382e-05,2.98623e+02,1.31193e-02,2.58781e-02,1.04710e+00,9.98440e-01,3.30271e-02,1.23810e-03,0.00000e+00
4.06079e-30,2.64967e+02,3.53032e-27,7.57191e-15,1.19624e+00,6.02378e-17,2.19236e-01,1.43452e-01,0.00000e+00
2.78702e-03,4.41656e+02,9.67804e-01,8.48580e-01,7.19157e-01,9.50960e-01,1.50379e-02,3.33734e-03,0.00000e+00
1.06546e-09,2.94002e+02,8.99017e-07,2.89043e-05,1.19621e+00,9.94982e-07,3.60404e-01,8.52765e-02,0.00000e+00
8.46464e-04,8.26437e+02,7.23593e-01,2.19448e+00,4.21085e-01,7.50519e-02,6.85387e-01,4.14013e-02,0.00000e+00
1.42484e-08,2.94183e+02,1.19072e-05,7.48541e-04,1.19552e+00,2.60446e-05,1.49186e-01,2.93421e-02,0.00000e+00
1.49457e-02,1.39330e+03,5.74034e+00,5.29351e+00,2.43644e-01,2.09492e-01,1.56038e-01,1.45283e-02,0.00000e+00
7.78910e-04,4.98732e+02,6.62299e-01,8.52986e-01,6.96270e-01,2.92665e-02,3.15259e-01,4.41170e-02,0.00000e+00
1.61780e-06,3.01710e+02,1.34669e-03,2.98205e-02,1.16726e+00,1.03561e-03,8.98168e-02,1.70982e-02,0.00000e+00
6.86408e-04,3.35326e+02,2.05459e-01,2.28598e-01,9.35848e-01,9.86048e-01,1.48328e-02,2.90799e-03,0.00000e+00
5.33858e-09,2.94035e+02,4.52289e-06,1.47717e-04,1.19610e+00,5.09060e-06,1.57312e-01,3.66376e-02,0.00000e+00
2.12209e-02,1.56436e+03,5.66712e+00,6.48388e+00,2.13794e-01,2.82194e-01,1.54024e-01,1.24140e-02,0.00000e+00
2.88003e-03,8.24505e+02,2.35375e+00,2.26335e+00,4.21498e-01,7.79468e-02,3.07891e-01,3.54048e-02,0.00000e+00
2.66919e-09,2.94014e+02,2.26489e-06,6.84169e-05,1.19617e+00,2.35422e-06,1.48911e-01,4.15344e-02,0.00000e+00
7.25216e-38,2.94000e+02,4.73814e-35,5.90254e-15,1.19624e+00,2.06814e-20,4.85766e-02,1.12811e-01,0.00000e+00
1.48956e-03,1.28289e+03,1.26561e+00,4.36255e+00,2.70560e-01,1.49686e-01,1.52866e-02,8.70193e-03,0.00000e+00
8.63932e-05,1.90687e+03,4.60939e-02,7.81528e+00,1.77953e-01,2.72201e-01,1.24777e-02,6.36489e-03,0.00000e+00
1.63182e-02,1.31387e+03,7.64486e+00,6.74862e+00,2.38428e-01,6.74237e-01,2.20289e-01,2.41454e-03,0.00000e+00
8.47557e-05,3.60832e+02,7.21847e-02,2.68898e-01,9.77733e-01,9.21553e-03,4.98632e-02,1.37234e-02,0.00000e+00
9.74534e-04,8.96857e+02,8.28568e-01,2.51858e+00,3.97677e-01,8.66733e-02,8.19081e-03,9.45864e-03,0.00000e+00
1.21893e-03,1.02196e+03,1.03566e+00,3.09469e+00,3.47732e-01,1.06504e-01,7.78595e-03,9.27484e-03,0.00000e+00
1.90835e-03,1.18318e+03,1.62549e+00,3.85859e+00,2.92791e-01,1.32020e-01,5.36945e-01,1.80922e-02,0.00000e+00
1.62906e-02,1.49803e+03,6.11620e+00,5.88528e+00,2.26431e-01,2.32215e-01,2.21495e-01,1.74305e-02,0.00000e+00
8.97172e-03,1.78047e+03,2.74175e+00,8.74708e+00,1.81249e-01,4.43673e-01,5.43071e-03,4.44649e-03,0.00000e+00
2.55490e-07,2.95782e+02,2.17302e-04,6.83860e-03,1.18956e+00,2.34541e-04,4.64108e-02,1.62094e-02,0.00000e+00
4.68604e-05,2.97379e+02,1.28734e-02,1.85024e-02,1.05175e+00,9.98833e-01,1.97542e-02,1.83251e-03,0.00000e+00
1.14456e-12,2.94000e+02,9.61729e-10,2.58320e-07,1.19624e+00,8.89953e-09,6.16957e-02,5.04286e-02,0.00000e+00
1.32872e-09,2.94017e+02,1.11571e-06,5.23751e-05,1.19619e+00,1.80547e-06,4.12202e-02,2.76346e-02,0.00000e+00
7.15530e-03,4.64261e+02,1.89049e+00,9.99363e-01,6.83532e-01,9.34913e-01,3.12727e-03,3.50739e-03,0.00000e+00
1.00783e-20,2.94000e+02,8.40791e-18,3.73603e-11,1.19624e+00,1.29203e-12,2.82891e-02,6.21710e-02,0.00000e+00
1.06943e-21,2.94000e+02,8.93150e-19,1.61689e-11,1.19624e+00,5.58755e-13,2.77632e-02,6.44996e-02,0.00000e+00
8.69723e-03,1.11729e+03,4.47665e+00,3.73779e+00,3.08860e-01,1.40359e-01,1.06788e-01,1.29694e-02,0.00000e+00
6.05097e-03,1.88795e+03,3.10488e+00,8.04022e+00,1.78092e-01,2.91012e-01,3.74386e-01,1.67784e-03,0.00000e+00
1.08633e-09,2.94010e+02,9.21294e-07,3.72269e-05,1.19620e+00,1.27973e-06,7.16204e-02,3.63427e-02,0.00000e+00
9.22523e-12,2.94000e+02,7.81159e-09,9.71993e-07,1.19624e+00,3.34347e-08,8.97708e-02,5.46208e-02,0.00000e+00
2.72846e-11,2.94000e+02,2.31437e-08,1.26885e-06,1.19624e+00,4.36356e-08,8.79666e-02,5.50945e-02,0.00000e+00
1.93671e-11,2.94001e+02,1.63800e-08,2.10917e-06,1.19624e+00,7.26289e-08,6.29802e-02,4.30973e-02,0.00000e+00
3.46862e-11,2.94002e+02,2.94076e-08,4.89735e-06,1.19624e+00,1.68216e-07,1.30372e-01,5.16322e-02,0.00000e+00
2.56656e-02,1.14207e+03,8.87891e+00,5.30555e+00,2.79285e-01,7.15268e-01,1.04811e-01,5.12723e-03,0.00000e+00
5.38322e-10,2.94001e+02,1.18484e-07,5.16417e-06,1.06348e+00,1.00000e+00,8.39467e-03,1.27576e-03,0.00000e+00
0.00000e+00,2.55993e+02,7.34749e-32,4.24473e-15,1.19617e+00,7.66016e-32,0.00000e+00,1.29341e-01,0.00000e+00
1.37717e-33,2.94000e+02,1.13489e-30,5.91400e-15,1.19624e+00,6.34390e-19,3.60136e-02,1.00920e-01,0.00000e+00
1.27256e-02,1.91714e+03,3.35117e+00,9.17934e+00,1.69852e-01,3.76495e-01,3.09789e-01,8.62024e-03,0.00000e+00
